	Filename / Номер оригинала в архиве	Source Text Title (or first line) / Название или первая строка	Genre / Жанр	Source Text Size (in tokens) / Объем в словоупотреблениях	Number of Translations / Кол-во переводов
	EN_1_295	The Great AI Awakening. 7. Theory Becomes Product	essay	967	1
	EN_1_296	Few silver linings when gold bubble bursts (The Financial Times)	essay	364	10
	EN_1_297	Merrill Lynch Offers $5.3 Bin for Mercury (Reuters)	informational	398	7
	EN_1_298	The Great AI Awakening. And yet the rise of machine learning makes	essay	920	1
	EN_1_299	English as lingua Franca	educational	460	9
	EN_1_300	Sherman_Into Viewing the world with the rational eye	educational	415	15
	RU_1_301	SAS_FAQ	informational	343	2
	EN_1_302	Lisa Randall Dark Matter and the Dinosaurs	educational	460	1
	EN_1_303	Japanese government to go ahead with sales tax rise (Oct 2013, BBC)	informational	440	36
	EN_1_304	Brand Loyalty and Trade	essay	437	3
	EN_1_305	The gift that gives back (Nov 5th 2009, The Economist)	essay	503	5
	EN_1_306	Supermarkets and loyalty cards (Oct 6th 2014)	essay	578	13
	EN_1_307	Modell Deutschland über alles	essay	405	13
	EN_1_308	The Working Group for Planetary System Nomenclature	Informational	344	14
	EN_1_309	Do Goats Have Accents?	Informational	365	15
	RU_1_310	Российская электроэнергетика в 2011 году – аналитический обзор	Essay	383	10
	EN_1_311	Our Approach to Innovation	Advertisement	533	5
	EN_1_312	The Changing Faces of Terrorism	Educational	922	7
	EN_1_313	Inching towards a European Higher Education Area	Informational	452	15
	EN_1_314	Jean Tirole wins Nobel prize for economics 2014 (guardian.co.uk)	Informational	836	15
	EN_1_315	Google and Facebook may be our best defenders against Big Brother	Essay	833	5
	EN_1_316	UK industrialists have warned they face “catastrophic” problems after	Informational	621	12
	EN_1_317	One in three women have experienced physical or sexual violence from partner (Guardian)	Informational	403	24
	RU_1_318	Ижевск. Зоопарк	Informational	942	
	RU_1_319	Ижевск. Музей Ижмаш	Informational	454	
	RU_1_320	Ижевск. Музей Калашникова	Informational	434	
	RU_1_321	Ижевск. Национальный музей	Informational	298	
	RU_1_322	Ижевск. Обзорная экскурсия	Informational	314	
	RU_1_323	Сочи. Океанариум	Informational	611	
	EN_1_324	How we'll earn money in a future without jobs	speech	570	
	EN_1_325	How Volcanoes Starved Ancient Egypt	essay/contest	494	
	RU_1_326	Обращение губернатора 2017	speech		
	RU_1_327	День памяти жертв политических репрессий	Advertisement	1344	1
	EN_1_328	What Lies Ahead for 3-D Printing?	Informational	717	3
	EN_1_329	2017 killed off an old political lie – that the young don’t care	Essay	479	
	RU_1_330	Город Певек	Informational	250	1
	RU_1_331	Фильмы 1-8 из проекта «Мой ГУЛАГ»	Advertisement	931	1
	RU_1_332	Информация о Музее для туристического буклета	Advertisement	693	1
	RU_1_333	Фильмы 9-15 из проекта «Мой ГУЛАГ»	Advertisement	814	1
